"Temperature_(K)" "Pressure_(MPa)" "Vap._Density_(mol/m3)" "Liq._Density_(mol/m3)"
215.2 0.0003511 0.19631 11660
215.3 0.00035407 0.19788 11659
215.4 0.00035705 0.19945 11658
215.5 0.00036006 0.20104 11656
215.6 0.00036309 0.20264 11655
215.7 0.00036614 0.20425 11654
215.8 0.00036921 0.20587 11653
215.9 0.00037231 0.2075 11651
216 0.00037543 0.20914 11650
216.1 0.00037857 0.21079 11649
216.2 0.00038173 0.21246 11648
216.3 0.00038492 0.21413 11646
216.4 0.00038813 0.21582 11645
216.5 0.00039136 0.21752 11644
216.6 0.00039462 0.21923 11642
216.7 0.0003979 0.22095 11641
216.8 0.00040121 0.22268 11640
216.9 0.00040454 0.22443 11639
217 0.00040789 0.22618 11637
217.1 0.00041127 0.22795 11636
217.2 0.00041467 0.22973 11635
217.3 0.00041809 0.23152 11633
217.4 0.00042154 0.23333 11632
217.5 0.00042502 0.23514 11631
217.6 0.00042852 0.23697 11630
217.7 0.00043204 0.23881 11628
217.8 0.00043559 0.24066 11627
217.9 0.00043917 0.24253 11626
218 0.00044277 0.24441 11625
218.1 0.00044639 0.24629 11623
218.2 0.00045005 0.2482 11622
218.3 0.00045372 0.25011 11621
218.4 0.00045743 0.25204 11619
218.5 0.00046116 0.25398 11618
218.6 0.00046492 0.25593 11617
218.7 0.0004687 0.2579 11616
218.8 0.00047251 0.25988 11614
218.9 0.00047635 0.26187 11613
219 0.00048021 0.26387 11612
219.1 0.00048411 0.26589 11610
219.2 0.00048802 0.26792 11609
219.3 0.00049197 0.26997 11608
219.4 0.00049595 0.27203 11607
219.5 0.00049995 0.2741 11605
219.6 0.00050398 0.27618 11604
219.7 0.00050804 0.27828 11603
219.8 0.00051212 0.28039 11602
219.9 0.00051624 0.28252 11600
220 0.00052038 0.28466 11599
220.1 0.00052456 0.28681 11598
220.2 0.00052876 0.28898 11596
220.3 0.00053299 0.29116 11595
220.4 0.00053725 0.29336 11594
220.5 0.00054154 0.29557 11593
220.6 0.00054586 0.29779 11591
220.7 0.00055021 0.30003 11590
220.8 0.00055459 0.30228 11589
220.9 0.000559 0.30455 11587
221 0.00056344 0.30683 11586
221.1 0.00056791 0.30913 11585
221.2 0.00057241 0.31144 11584
221.3 0.00057695 0.31376 11582
221.4 0.00058151 0.3161 11581
221.5 0.00058611 0.31846 11580
221.6 0.00059073 0.32083 11579
221.7 0.00059539 0.32321 11577
221.8 0.00060008 0.32561 11576
221.9 0.0006048 0.32803 11575
222 0.00060956 0.33046 11573
222.1 0.00061434 0.33291 11572
222.2 0.00061916 0.33537 11571
222.3 0.00062401 0.33785 11570
222.4 0.0006289 0.34034 11568
222.5 0.00063382 0.34285 11567
222.6 0.00063877 0.34537 11566
222.7 0.00064375 0.34791 11564
222.8 0.00064877 0.35047 11563
222.9 0.00065382 0.35304 11562
223 0.00065891 0.35563 11561
223.1 0.00066403 0.35824 11559
223.2 0.00066918 0.36086 11558
223.3 0.00067437 0.36349 11557
223.4 0.0006796 0.36615 11555
223.5 0.00068486 0.36882 11554
223.6 0.00069015 0.3715 11553
223.7 0.00069548 0.37421 11552
223.8 0.00070085 0.37693 11550
223.9 0.00070625 0.37966 11549
224 0.00071169 0.38242 11548
224.1 0.00071716 0.38519 11547
224.2 0.00072267 0.38798 11545
224.3 0.00072822 0.39078 11544
224.4 0.0007338 0.39361 11543
224.5 0.00073942 0.39645 11541
224.6 0.00074508 0.3993 11540
224.7 0.00075077 0.40218 11539
224.8 0.0007565 0.40507 11538
224.9 0.00076227 0.40798 11536
225 0.00076808 0.41091 11535
225.1 0.00077393 0.41385 11534
225.2 0.00077981 0.41682 11532
225.3 0.00078574 0.4198 11531
225.4 0.0007917 0.4228 11530
225.5 0.0007977 0.42582 11529
225.6 0.00080374 0.42885 11527
225.7 0.00080982 0.43191 11526
225.8 0.00081594 0.43498 11525
225.9 0.0008221 0.43807 11523
226 0.0008283 0.44119 11522
226.1 0.00083454 0.44432 11521
226.2 0.00084082 0.44746 11520
226.3 0.00084714 0.45063 11518
226.4 0.0008535 0.45382 11517
226.5 0.00085991 0.45702 11516
226.6 0.00086635 0.46025 11514
226.7 0.00087284 0.46349 11513
226.8 0.00087937 0.46675 11512
226.9 0.00088594 0.47004 11511
227 0.00089255 0.47334 11509
227.1 0.00089921 0.47666 11508
227.2 0.00090591 0.48 11507
227.3 0.00091265 0.48337 11505
227.4 0.00091943 0.48675 11504
227.5 0.00092626 0.49015 11503
227.6 0.00093313 0.49357 11502
227.7 0.00094005 0.49701 11500
227.8 0.00094701 0.50048 11499
227.9 0.00095401 0.50396 11498
228 0.00096106 0.50746 11496
228.1 0.00096815 0.51099 11495
228.2 0.00097529 0.51453 11494
228.3 0.00098248 0.5181 11493
228.4 0.0009897 0.52169 11491
228.5 0.00099698 0.5253 11490
228.6 0.0010043 0.52892 11489
228.7 0.0010117 0.53257 11487
228.8 0.0010191 0.53625 11486
228.9 0.0010265 0.53994 11485
229 0.0010341 0.54365 11484
229.1 0.0010416 0.54739 11482
229.2 0.0010492 0.55115 11481
229.3 0.0010569 0.55493 11480
229.4 0.0010646 0.55873 11478
229.5 0.0010723 0.56255 11477
229.6 0.0010801 0.5664 11476
229.7 0.0010879 0.57027 11475
229.8 0.0010958 0.57416 11473
229.9 0.0011038 0.57807 11472
230 0.0011118 0.58201 11471
230.1 0.0011198 0.58597 11469
230.2 0.0011279 0.58995 11468
230.3 0.001136 0.59395 11467
230.4 0.0011442 0.59798 11466
230.5 0.0011525 0.60203 11464
230.6 0.0011608 0.6061 11463
230.7 0.0011691 0.6102 11462
230.8 0.0011775 0.61432 11460
230.9 0.001186 0.61846 11459
231 0.0011945 0.62263 11458
231.1 0.001203 0.62682 11457
