"Temperature_(K)" "Pressure_(MPa)" "Vap._Density_(mol/m3)" "Liq._Density_(mol/m3)"
131.3 0.000021721 0.019898 15566
131.4 0.00002207 0.020202 15563
131.5 0.000022424 0.02051 15561
131.6 0.000022783 0.020823 15559
131.7 0.000023147 0.021139 15556
131.8 0.000023516 0.02146 15554
131.9 0.00002389 0.021785 15552
132 0.00002427 0.022115 15550
132.1 0.000024655 0.022449 15547
132.2 0.000025045 0.022787 15545
132.3 0.000025441 0.02313 15543
132.4 0.000025843 0.023477 15540
132.5 0.00002625 0.023829 15538
132.6 0.000026663 0.024186 15536
132.7 0.000027082 0.024547 15534
132.8 0.000027507 0.024913 15531
132.9 0.000027937 0.025284 15529
133 0.000028374 0.02566 15527
133.1 0.000028816 0.026041 15524
133.2 0.000029265 0.026426 15522
133.3 0.00002972 0.026817 15520
133.4 0.000030181 0.027213 15518
133.5 0.000030649 0.027614 15515
133.6 0.000031123 0.02802 15513
133.7 0.000031603 0.028431 15511
133.8 0.000032091 0.028848 15508
133.9 0.000032584 0.02927 15506
134 0.000033085 0.029698 15504
134.1 0.000033592 0.030131 15501
134.2 0.000034107 0.030569 15499
134.3 0.000034628 0.031013 15497
134.4 0.000035157 0.031463 15495
134.5 0.000035692 0.031919 15492
134.6 0.000036235 0.03238 15490
134.7 0.000036785 0.032848 15488
134.8 0.000037343 0.033321 15485
134.9 0.000037908 0.0338 15483
135 0.000038481 0.034285 15481
135.1 0.000039061 0.034777 15479
135.2 0.000039649 0.035274 15476
135.3 0.000040245 0.035778 15474
135.4 0.000040849 0.036288 15472
135.5 0.000041461 0.036805 15469
135.6 0.000042081 0.037328 15467
135.7 0.00004271 0.037857 15465
135.8 0.000043346 0.038393 15463
135.9 0.000043992 0.038936 15460
136 0.000044645 0.039486 15458
136.1 0.000045307 0.040042 15456
136.2 0.000045978 0.040605 15453
136.3 0.000046658 0.041175 15451
136.4 0.000047347 0.041752 15449
136.5 0.000048044 0.042337 15447
136.6 0.000048751 0.042928 15444
136.7 0.000049467 0.043527 15442
136.8 0.000050192 0.044133 15440
136.9 0.000050927 0.044746 15437
137 0.000051671 0.045367 15435
137.1 0.000052425 0.045995 15433
137.2 0.000053189 0.046631 15430
137.3 0.000053962 0.047275 15428
137.4 0.000054746 0.047926 15426
137.5 0.000055539 0.048586 15424
137.6 0.000056343 0.049253 15421
137.7 0.000057157 0.049928 15419
137.8 0.000057981 0.050612 15417
137.9 0.000058816 0.051303 15414
138 0.000059662 0.052003 15412
138.1 0.000060518 0.052711 15410
138.2 0.000061385 0.053428 15408
138.3 0.000062263 0.054153 15405
138.4 0.000063152 0.054887 15403
138.5 0.000064053 0.05563 15401
138.6 0.000064965 0.056381 15398
138.7 0.000065888 0.057141 15396
138.8 0.000066823 0.05791 15394
138.9 0.000067769 0.058688 15392
139 0.000068728 0.059475 15389
139.1 0.000069698 0.060272 15387
139.2 0.000070681 0.061078 15385
139.3 0.000071676 0.061893 15382
139.4 0.000072683 0.062718 15380
139.5 0.000073702 0.063552 15378
139.6 0.000074735 0.064396 15375
139.7 0.00007578 0.06525 15373
139.8 0.000076837 0.066114 15371
139.9 0.000077908 0.066987 15369
140 0.000078992 0.067871 15366
140.1 0.00008009 0.068765 15364
140.2 0.000081201 0.069669 15362
140.3 0.000082325 0.070584 15359
140.4 0.000083463 0.071509 15357
140.5 0.000084615 0.072444 15355
140.6 0.000085781 0.07339 15353
140.7 0.000086962 0.074347 15350
140.8 0.000088156 0.075315 15348
140.9 0.000089365 0.076294 15346
141 0.000090589 0.077284 15343
141.1 0.000091827 0.078285 15341
141.2 0.000093081 0.079298 15339
141.3 0.000094349 0.080321 15336
141.4 0.000095633 0.081357 15334
141.5 0.000096932 0.082404 15332
141.6 0.000098246 0.083462 15330
141.7 0.000099576 0.084533 15327
141.8 0.00010092 0.085615 15325
141.9 0.00010228 0.08671 15323
142 0.00010366 0.087817 15320
142.1 0.00010506 0.088935 15318
142.2 0.00010647 0.090067 15316
142.3 0.0001079 0.091211 15314
142.4 0.00010934 0.092367 15311
142.5 0.0001108 0.093537 15309
142.6 0.00011228 0.094719 15307
142.7 0.00011378 0.095914 15304
142.8 0.00011529 0.097122 15302
142.9 0.00011682 0.098343 15300
143 0.00011837 0.099578 15297
143.1 0.00011994 0.10083 15295
143.2 0.00012153 0.10209 15293
143.3 0.00012313 0.10336 15291
143.4 0.00012475 0.10465 15288
143.5 0.00012639 0.10596 15286
143.6 0.00012805 0.10727 15284
143.7 0.00012973 0.10861 15281
143.8 0.00013143 0.10995 15279
143.9 0.00013315 0.11131 15277
144 0.00013489 0.11269 15275
144.1 0.00013665 0.11408 15272
144.2 0.00013842 0.11548 15270
144.3 0.00014022 0.1169 15268
144.4 0.00014204 0.11834 15265
