#T = 293.15 K
#pressure (bar)	loading(mmol/g)
27.9279284	5.641169272
27.9779784	5.641385178
28.0280285	5.641600346
28.0780785	5.641814777
28.1281286	5.642028476
28.1781786	5.642241447
28.2282287	5.642453693
28.2782787	5.642665218
28.3283288	5.642876026
28.3783788	5.643086120
28.4284289	5.643295504
28.4784789	5.643504182
28.5285290	5.643712156
28.5785790	5.643919432
28.6286291	5.644126012
28.6786791	5.644331899
28.7287292	5.644537097
28.7787792	5.644741610
28.8288293	5.644945442
28.8788793	5.645148594
28.9289294	5.645351072
28.9789794	5.645552877
29.0290294	5.645754014
29.0790795	5.645954486
29.1291295	5.646154296
29.1791796	5.646353448
29.2292296	5.646551944
29.2792797	5.646749788
29.3293297	5.646946983
29.3793798	5.647143533
29.4294298	5.647339440
29.4794799	5.647534707
29.5295299	5.647729338
29.5795800	5.647923336
29.6296300	5.648116704
29.6796801	5.648309445
29.7297301	5.648501562
29.7797802	5.648693058
29.8298302	5.648883936
29.8798803	5.649074200
29.9299303	5.649263851
29.9799804	5.649452893
30.0300304	5.649641329
30.0800805	5.649829162
30.1301305	5.650016394
30.1801806	5.650203029
30.2302306	5.650389069
30.2802807	5.650574518
30.3303307	5.650759378
30.3803808	5.650943652
30.4304308	5.651127342
30.4804809	5.651310452
30.5305309	5.651492983
30.5805810	5.651674940
30.6306310	5.651856325
30.6806811	5.652037139
30.7307311	5.652217387
30.7807812	5.652397070
30.8308312	5.652576192
30.8808813	5.652754755
30.9309313	5.652932761
30.9809814	5.653110213
31.0310314	5.653287114
31.0810815	5.653463466
31.1311315	5.653639272
31.1811816	5.653814535
31.2312316	5.653989256
31.2812817	5.654163439
31.3313317	5.654337086
31.3813818	5.654510199
31.4314318	5.654682781
31.4814819	5.654854834
31.5315319	5.655026360
31.5815819	5.655197363
31.6316320	5.655367844
31.6816820	5.655537807
31.7317321	5.655707252
31.7817821	5.655876183
31.8318322	5.656044602
31.8818822	5.656212511
31.9319323	5.656379913
31.9819823	5.656546809
32.0320324	5.656713203
32.0820824	5.656879096
32.1321325	5.657044491
32.1821825	5.657209389
32.2322326	5.657373794
32.2822826	5.657537707
32.3323327	5.657701131
32.3823827	5.657864068
32.4324328	5.658026519
32.4824828	5.658188487
32.5325329	5.658349975
32.5825829	5.658510984
32.6326330	5.658671517
32.6826830	5.658831575
32.7327331	5.658991161
32.7827831	5.659150276
32.8328332	5.659308924
32.8828832	5.659467105
32.9329333	5.659624823
32.9829833	5.659782078
33.0330334	5.659938874
33.0830834	5.660095211
33.1331335	5.660251093
33.1831835	5.660406520
33.2332336	5.660561496
33.2832836	5.660716022
33.3333337	5.660870099
33.3833837	5.661023731
33.4334338	5.661176919
33.4834838	5.661329664
33.5335339	5.661481969
33.5835839	5.661633835
33.6336340	5.661785265
33.6836840	5.661936260
33.7337341	5.662086823
33.7837841	5.662236954
33.8338342	5.662386657
33.8838842	5.662535932
33.9339343	5.662684782
33.9839843	5.662833208
34.0340344	5.662981213
34.0840844	5.663128797
34.1341345	5.663275963
34.1841845	5.663422713
34.2342345	5.663569048
34.2842846	5.663714971
34.3343346	5.663860482
34.3843847	5.664005583
34.4344347	5.664150277
34.4844848	5.664294565
34.5345348	5.664438449
34.5845849	5.664581930
34.6346349	5.664725010
34.6846850	5.664867691
34.7347350	5.665009975
34.7847851	5.665151862
34.8348351	5.665293355
34.8848852	5.665434456
34.9349352	5.665575166
34.9849853	5.665715486
35.0350353	5.665855419
35.0850854	5.665994965
35.1351354	5.666134127
35.1851855	5.666272906
35.2352355	5.666411304
35.2852856	5.666549321
35.3353356	5.666686961
35.3853857	5.666824224
35.4354357	5.666961112
35.4854858	5.667097626
35.5355358	5.667233768
35.5855859	5.667369539
35.6356359	5.667504942
35.6856860	5.667639977
35.7357360	5.667774645
35.7857861	5.667908950
35.8358361	5.668042891
35.8858862	5.668176471
35.9359362	5.668309690
35.9859863	5.668442551
36.0360363	5.668575054
36.0860864	5.668707202
36.1361364	5.668838995
36.1861865	5.668970436
36.2362365	5.669101524
36.2862866	5.669232263
36.3363366	5.669362653
36.3863867	5.669492696
36.4364367	5.669622392
36.4864868	5.669751744
36.5365368	5.669880753
36.5865869	5.670009420
36.6366369	5.670137747
36.6866870	5.670265734
36.7367370	5.670393384
36.7867871	5.670520697
36.8368371	5.670647675
36.8868871	5.670774319
36.9369372	5.670900631
36.9869872	5.671026612
37.0370373	5.671152263
37.0870873	5.671277585
37.1371374	5.671402579
37.1871874	5.671527248
37.2372375	5.671651592
37.2872875	5.671775613
37.3373376	5.671899311
37.3873876	5.672022689
37.4374377	5.672145746
37.4874877	5.672268486
37.5375378	5.672390908
37.5875878	5.672513014
37.6376379	5.672634805
37.6876879	5.672756282
37.7377380	5.672877448
37.7877880	5.672998302
37.8378381	5.673118846
37.8878881	5.673239081
37.9379382	5.673359009
37.9879882	5.673478630
38.0380383	5.673597946
38.0880883	5.673716959
38.1381384	5.673835668
38.1881884	5.673954075
38.2382385	5.674072182
38.2882885	5.674189989
38.3383386	5.674307498
38.3883886	5.674424710
38.4384387	5.674541626
38.4884887	5.674658247
38.5385388	5.674774574
38.5885888	5.674890608
38.6386389	5.675006350
38.6886889	5.675121803
38.7387390	5.675236965
38.7887890	5.675351840
38.8388391	5.675466427
38.8888891	5.675580728
38.9389392	5.675694744
38.9889892	5.675808475
39.0390393	5.675921924
39.0890893	5.676035091
39.1391394	5.676147977
39.1891894	5.676260583
39.2392395	5.676372910
39.2892895	5.676484960
39.3393396	5.676596733
39.3893896	5.676708230
39.4394397	5.676819452
39.4894897	5.676930401
39.5395397	5.677041077
39.5895898	5.677151482
39.6396398	5.677261615
39.6896899	5.677371479
39.7397399	5.677481075
39.7897900	5.677590403
39.8398400	5.677699464
39.8898901	5.677808259
39.9399401	5.677916789
39.9899902	5.678025056
40.0400402	5.678133060
40.0900903	5.678240802
40.1401403	5.678348283
40.1901904	5.678455504
40.2402404	5.678562466
40.2902905	5.678669169
40.3403405	5.678775616
40.3903906	5.678881807
40.4404406	5.678987742
40.4904907	5.679093422
40.5405407	5.679198849
40.5905908	5.679304024
40.6406408	5.679408947
40.6906909	5.679513619
40.7407409	5.679618041
40.7907910	5.679722215
40.8408410	5.679826140
40.8908911	5.679929818
40.9409411	5.680033250
40.9909912	5.680136436
41.0410412	5.680239378
41.0910913	5.680342076
41.1411413	5.680444531
41.1911914	5.680546744
41.2412414	5.680648716
