"Temperature_(K)" "Pressure_(MPa)" "Vap._Density_(mol/m3)" "Liq._Density_(mol/m3)"
184.6 0.0099358 6.5341 25185
184.7 0.010013 6.5817 25180
184.8 0.010091 6.6297 25176
184.9 0.01017 6.6779 25171
185 0.010248 6.7264 25166
185.1 0.010328 6.7752 25161
185.2 0.010408 6.8243 25156
185.3 0.010488 6.8737 25151
185.4 0.010569 6.9234 25146
185.5 0.010651 6.9733 25141
185.6 0.010733 7.0236 25137
185.7 0.010815 7.0742 25132
185.8 0.010898 7.1251 25127
185.9 0.010982 7.1762 25122
186 0.011066 7.2277 25117
186.1 0.011151 7.2795 25112
186.2 0.011236 7.3316 25107
186.3 0.011322 7.384 25102
186.4 0.011408 7.4367 25097
186.5 0.011495 7.4897 25093
186.6 0.011583 7.543 25088
186.7 0.011671 7.5966 25083
186.8 0.011759 7.6505 25078
186.9 0.011848 7.7048 25073
187 0.011938 7.7594 25068
187.1 0.012028 7.8142 25063
187.2 0.012119 7.8695 25058
187.3 0.01221 7.925 25053
187.4 0.012302 7.9808 25048
187.5 0.012395 8.037 25044
187.6 0.012488 8.0935 25039
187.7 0.012582 8.1503 25034
187.8 0.012676 8.2075 25029
187.9 0.012771 8.2649 25024
188 0.012866 8.3227 25019
188.1 0.012962 8.3809 25014
188.2 0.013059 8.4393 25009
188.3 0.013156 8.4981 25004
188.4 0.013254 8.5573 24999
188.5 0.013352 8.6167 24995
188.6 0.013452 8.6766 24990
188.7 0.013551 8.7367 24985
188.8 0.013652 8.7972 24980
188.9 0.013752 8.858 24975
189 0.013854 8.9192 24970
189.1 0.013956 8.9808 24965
189.2 0.014059 9.0426 24960
189.3 0.014162 9.1049 24955
189.4 0.014266 9.1674 24950
189.5 0.014371 9.2304 24945
189.6 0.014476 9.2936 24940
189.7 0.014582 9.3573 24936
189.8 0.014689 9.4213 24931
189.9 0.014796 9.4856 24926
190 0.014904 9.5503 24921
190.1 0.015013 9.6154 24916
190.2 0.015122 9.6808 24911
190.3 0.015232 9.7466 24906
190.4 0.015342 9.8128 24901
190.5 0.015453 9.8793 24896
190.6 0.015565 9.9462 24891
190.7 0.015678 10.013 24886
190.8 0.015791 10.081 24881
190.9 0.015905 10.149 24876
191 0.01602 10.217 24872
191.1 0.016135 10.286 24867
191.2 0.016251 10.355 24862
191.3 0.016367 10.425 24857
191.4 0.016485 10.495 24852
191.5 0.016603 10.565 24847
191.6 0.016722 10.636 24842
191.7 0.016841 10.707 24837
191.8 0.016961 10.778 24832
191.9 0.017082 10.85 24827
192 0.017204 10.922 24822
192.1 0.017326 10.995 24817
192.2 0.017449 11.068 24812
192.3 0.017573 11.141 24807
192.4 0.017697 11.215 24802
192.5 0.017822 11.289 24797
192.6 0.017948 11.364 24793
192.7 0.018075 11.439 24788
192.8 0.018202 11.514 24783
192.9 0.01833 11.59 24778
193 0.018459 11.666 24773
193.1 0.018589 11.743 24768
193.2 0.018719 11.82 24763
193.3 0.01885 11.897 24758
193.4 0.018982 11.975 24753
193.5 0.019115 12.053 24748
193.6 0.019248 12.132 24743
193.7 0.019383 12.211 24738
193.8 0.019518 12.291 24733
193.9 0.019653 12.371 24728
194 0.01979 12.451 24723
194.1 0.019927 12.532 24718
194.2 0.020065 12.613 24713
194.3 0.020204 12.695 24708
194.4 0.020344 12.777 24703
194.5 0.020484 12.859 24698
194.6 0.020626 12.942 24693
194.7 0.020768 13.025 24688
194.8 0.020911 13.109 24683
194.9 0.021054 13.193 24678
195 0.021199 13.278 24674
195.1 0.021344 13.363 24669
195.2 0.02149 13.449 24664
195.3 0.021637 13.535 24659
195.4 0.021785 13.621 24654
195.5 0.021934 13.708 24649
195.6 0.022083 13.796 24644
195.7 0.022234 13.883 24639
195.8 0.022385 13.972 24634
195.9 0.022537 14.06 24629
196 0.02269 14.15 24624
196.1 0.022844 14.239 24619
196.2 0.022998 14.329 24614
196.3 0.023154 14.42 24609
196.4 0.02331 14.511 24604
196.5 0.023467 14.602 24599
196.6 0.023625 14.694 24594
196.7 0.023784 14.787 24589
196.8 0.023944 14.88 24584
196.9 0.024105 14.973 24579
197 0.024266 15.067 24574
197.1 0.024429 15.161 24569
197.2 0.024592 15.256 24564
197.3 0.024756 15.351 24559
197.4 0.024921 15.447 24554
197.5 0.025088 15.543 24549
197.6 0.025254 15.64 24544
197.7 0.025422 15.737 24539
197.8 0.025591 15.835 24534
197.9 0.025761 15.933 24529
198 0.025932 16.032 24524
198.1 0.026103 16.131 24519
198.2 0.026276 16.23 24514
198.3 0.026449 16.331 24509
198.4 0.026624 16.431 24504
198.5 0.026799 16.532 24499
198.6 0.026975 16.634 24494
198.7 0.027153 16.736 24489
198.8 0.027331 16.839 24484
198.9 0.02751 16.942 24479
199 0.02769 17.046 24474
199.1 0.027871 17.15 24469
199.2 0.028053 17.255 24464
199.3 0.028236 17.36 24459
199.4 0.02842 17.466 24454
199.5 0.028605 17.572 24449
199.6 0.028791 17.679 24444
199.7 0.028978 17.786 24439
199.8 0.029166 17.894 24434
199.9 0.029355 18.003 24429
200 0.029545 18.112 24424
200.1 0.029736 18.221 24419
200.2 0.029928 18.331 24414
200.3 0.030121 18.441 24409
200.4 0.030315 18.553 24404
200.5 0.03051 18.664 24399
200.6 0.030706 18.776 24394
200.7 0.030904 18.889 24389
200.8 0.031102 19.002 24383
200.9 0.031301 19.116 24378
201 0.031501 19.23 24373
201.1 0.031702 19.345 24368
201.2 0.031905 19.461 24363
201.3 0.032108 19.577 24358
201.4 0.032313 19.693 24353
201.5 0.032518 19.81 24348
201.6 0.032725 19.928 24343
201.7 0.032932 20.046 24338
201.8 0.033141 20.165 24333
201.9 0.033351 20.284 24328
202 0.033562 20.404 24323
202.1 0.033774 20.525 24318
202.2 0.033987 20.646 24313
202.3 0.034201 20.768 24308
202.4 0.034417 20.89 24303
202.5 0.034633 21.013 24298
202.6 0.034851 21.136 24293
202.7 0.035069 21.26 24288
202.8 0.035289 21.385 24283
202.9 0.03551 21.51 24278
203 0.035732 21.635 24273
203.1 0.035955 21.762 24267
203.2 0.036179 21.889 24262
203.3 0.036405 22.016 24257
203.4 0.036631 22.144 24252
203.5 0.036859 22.273 24247
203.6 0.037088 22.402 24242
203.7 0.037318 22.532 24237
203.8 0.037549 22.663 24232
203.9 0.037781 22.794 24227
204 0.038015 22.926 24222
